Majority protein IDs,Protein ID,logFC,Foldchange,PValue,FDR,Gene names,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
M0R3N4,M0R3N4,30.09502288,1146844687,3.80E-29,7.14E-27,Vat1l,0,0,0,0,0,0,123590000,135830000,164750000,155790000,136500000,143292000,0,0,0,0,0,0,11,14,13,13,12,12.6
M0RC17,M0RC17,30.00225725,1075423122,4.26E-29,7.14E-27,Chl1,0,0,0,0,0,0,129600000,107610000,131400000,148780000,153670000,134212000,0,0,0,0,0,0,9,14,12,12,12,11.8
Q00238,Q00238,30.42986859,1446449280,2.52E-29,7.14E-27,Icam1,0,0,0,0,0,0,171810000,175940000,186040000,189900000,179490000,180636000,0,0,0,0,0,0,9,8,8,12,11,9.6
Q68FU7,Q68FU7,-29.97056495,9.50519E-10,4.44E-29,7.14E-27,Coq6,0,155020000,115800000,202740000,185010000,131714000,0,0,0,0,0,0,4,5,2,2,3,3.2,0,2,0,0,0,0.4
Q6P734,Q6P734,30.35346444,1371839390,2.77E-29,7.14E-27,Serping1,0,0,0,0,0,0,158290000,171070000,146980000,204200000,176280000,171364000,0,0,0,0,0,0,9,14,19,18,15,15
Q8R427;G3V9J6;D4A0Y9;P43245;Q9JK64;Q6PSM0;Q3B7L2,Q8R427,30.20566676,1238259686,3.32E-29,7.14E-27,Abcb1b;Abcb1;Abcb1a;Mdr1a,0,0,0,0,0,0,149860000,130570000,175640000,171390000,145910000,154674000,0,0,0,0,0,0,13,12,15,23,14,15.4
Q9WTV1,Q9WTV1,30.22501763,1254980351,3.24E-29,7.14E-27,Chi3l1,0,0,0,0,0,0,129520000,136730000,180540000,150630000,185600000,156604000,0,0,0,0,0,0,16,16,21,14,12,15.8
F1LQH2,F1LQH2,29.83898291,960348574.4,5.20E-29,7.37E-27,Nfkb1,0,0,0,0,0,0,117180000,124510000,126780000,120180000,111090000,119948000,0,0,0,0,0,0,18,18,17,14,17,16.8
G3V8G4;P55068;P55068-2;A0A0G2JYH8,G3V8G4,-29.8458825,1.03632E-09,5.17E-29,7.37E-27,Bcan,125960000,117990000,121910000,109460000,128470000,120758000,0,0,0,0,0,0,12,19,14,22,16,16.6,0,0,0,0,0,0
A0A0G2K327;Q8K4M9,A0A0G2K327,-29.78761541,1.07903E-09,5.56E-29,7.49E-27,Osbpl1a,143690000,88447000,131230000,108780000,107480000,115925400,0,0,0,0,0,0,7,9,7,10,11,8.8,0,0,0,0,2,0.4
G3V6L4;A0A0G2K070,G3V6L4,29.69318398,868038613.8,6.21E-29,7.93E-27,Kif5c,0,0,0,0,0,0,94842000,104130000,110460000,117190000,115370000,108398400,0,0,0,0,0,0,12,12,13,16,15,13.6
P84039,P84039,-29.66266231,1.17665E-09,6.48E-29,7.93E-27,Enpp5,97749000,136350000,110670000,78147000,109210000,106425200,0,0,0,0,0,0,8,10,9,8,6,8.2,0,0,0,0,0,0
P30152,P30152,29.60216653,814967072.7,6.95E-29,8.14E-27,Lcn2,0,0,0,0,0,0,159160000,69702000,57310000,54057000,165640000,101173800,0,0,0,0,0,0,7,5,4,3,5,4.8
D3ZA22,D3ZA22,29.55557763,789069770.6,7.36E-29,8.26E-27,Trim47,0,0,0,0,0,0,106940000,99508000,102890000,84860000,98106000,98460800,0,0,0,0,0,0,10,14,10,11,12,11.4
Q9WVJ6;Q6P6R6,Q9WVJ6,29.49619246,757248964.9,7.91E-29,8.52E-27,Tgm2,0,0,0,0,0,0,92316000,102870000,91603000,91135000,94790000,94542800,0,0,0,0,0,0,7,9,10,10,8,8.8
D4ACN7;A0A0G2K695,D4ACN7,29.33233042,675944905.5,9.67E-29,1.00E-26,Myof,0,0,0,0,0,0,82455000,75916000,84663000,99826000,79393000,84450600,0,0,0,0,0,0,10,6,16,16,10,11.6
D3ZEZ9;F1M155,D3ZEZ9,29.16020311,599923419.1,1.19E-28,1.19E-26,Svil,0,0,0,0,0,0,71919000,71235000,66649000,84676000,80052000,74906200,0,0,0,0,0,0,11,10,9,21,11,12.4
Q05096;Q05096-3;Q05096-2,Q05096,29.09022273,571517617.3,1.30E-28,1.25E-26,Myo1b,0,0,0,0,0,0,53655000,66898000,75086000,81121000,80159000,71383800,0,0,0,0,0,0,4,6,10,16,10,9.2
P02793;Q7TP54;M0R6L9;M0R5T8;F1M5T1;M0R597;M0RCS3,P02793,-29.0186576,1.83871E-09,1.43E-28,1.32E-26,Ftl1;Fam65b;RGD1560687;RGD1566189;LOC100359668;LOC100362384;Ftl1l1,72914000,70463000,75903000,62358000,58651000,68057800,0,0,0,0,0,0,11,13,7,10,10,10.2,0,0,0,0,0,0
A0A096MJT3;A0JN02;Q5I0G8;Q6XUZ7;E9PST0;A0A096MJN4;A0A0G2JVC7;Q6XUZ6;A0A096MJW0,A0A096MJT3,28.9171087,506893948.6,1.61E-28,1.33E-26,4-Sep,0,0,0,0,0,0,54616000,74035000,59094000,63553000,65235000,63306600,0,0,0,0,0,0,10,7,9,5,9,8
A0A0G2K872;Q1WIM3,A0A0G2K872,-28.97688059,1.89273E-09,1.50E-28,1.33E-26,Cadm3,55209000,63753000,72490000,81887000,57136000,66095000,0,0,0,0,0,0,12,10,13,10,8,10.6,0,0,0,0,0,0
F1LZ05,F1LZ05,28.84890848,483489219.2,1.75E-28,1.33E-26,Parp14,0,0,0,0,0,0,62015000,42532000,75234000,72579000,49766000,60425200,0,0,0,0,0,0,10,5,7,12,6,8
P23978,P23978,-28.80747614,2.12856E-09,1.85E-28,1.33E-26,Slc6a1,60015000,61947000,57578000,56722000,57688000,58790000,0,0,0,0,0,0,3,6,4,5,3,4.2,0,0,0,0,0,0
P97706;F1LQQ7,P97706,28.79105536,464484547.2,1.88E-28,1.33E-26,Scn7a,0,0,0,0,0,0,54800000,57597000,60515000,63639000,53608000,58031800,0,0,0,0,0,0,5,3,5,7,2,4.4
Q6P762,Q6P762,-28.86126835,2.05065E-09,1.73E-28,1.33E-26,Man2b1,56635000,63307000,70139000,45894000,69309000,61056800,0,0,0,0,0,0,8,7,6,7,5,6.6,0,0,0,0,0,0
Q6P7B3;D4A9N5,Q6P7B3,28.84295244,481497290.9,1.76E-28,1.33E-26,Trim25,0,0,0,0,0,0,72551000,59963000,63392000,43397000,60880000,60036600,0,0,0,0,2,0.4,9,9,7,7,6,7.6
Q9ESN0,Q9ESN0,28.95653497,520937470,1.53E-28,1.33E-26,Fam129a,0,0,0,0,0,0,61145000,62235000,76380000,62280000,63206000,65049200,0,0,0,0,0,0,12,8,9,7,8,8.8
Q9JHZ9,Q9JHZ9,-28.79808799,2.14245E-09,1.87E-28,1.33E-26,Slc38a3,60057000,68358000,61213000,56998000,45421000,58409400,0,0,0,0,0,0,6,7,8,6,7,6.8,0,0,0,0,0,0
D3ZVG3;P70581-3;P70581-4;P70581-2;P70581,D3ZVG3,-28.76479075,2.19248E-09,1.95E-28,1.34E-26,Nupl1,67376000,65745000,77379000,0,75362000,57172400,0,0,0,0,0,0,3,2,2,2,4,2.6,0,0,0,0,2,0.4
A0A0G2K4X5;Q80Z36,A0A0G2K4X5,-28.73672341,2.23555E-09,2.01E-28,1.36E-26,Zhx3,50410000,55819000,53462000,59142000,61043000,55975200,0,0,0,0,0,0,8,9,12,7,7,8.6,0,0,0,0,0,0
Q498T9,Q498T9,28.68423571,431335647.2,2.14E-28,1.41E-26,Lrrc8c,0,0,0,0,0,0,50284000,52788000,53096000,63507000,49834000,53901800,0,0,0,0,0,0,7,5,6,11,7,7.2
A0A0G2JZ69;A0A0G2K1Y8;P16086;A0A0G2K1E7;C9EH87,A0A0G2JZ69,-28.61900924,2.4256E-09,2.33E-28,1.49E-26,Sptan1,66053000,44431000,45789000,50890000,50657000,51564000,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0.4
A0A0G2JW85;Q9QYJ2,A0A0G2JW85,28.47244966,372444356.3,2.77E-28,1.55E-26,Rasa3,0,0,0,0,0,0,41884000,31762000,60542000,62975000,35792000,46591000,0,0,0,0,2,0.4,5,7,8,11,4,7
A0A0G2JXT9,A0A0G2JXT9,28.53712986,389522077.7,2.56E-28,1.55E-26,NA,0,0,0,0,0,0,49576000,42189000,44988000,47078000,59045000,48575200,0,0,0,0,0,0,6,3,4,6,4,4.6
A0A0G2K847;G3V9U1;B0BND8,A0A0G2K847,28.45643635,368333238.1,2.83E-28,1.55E-26,Agap1;Centg2,0,0,0,0,0,0,48956000,43283000,43555000,45863000,48174000,45966200,0,0,0,0,0,0,6,8,9,7,4,6.8
B1WBY5,B1WBY5,-28.5237492,2.59117E-09,2.61E-28,1.55E-26,Dnajc11,55777000,54712000,47532000,38465000,45023000,48301800,0,0,0,0,0,0,5,6,11,8,7,7.4,3,4,0,0,0,1.4
B4F773;P0C5X8,B4F773,-28.49671192,2.64019E-09,2.70E-28,1.55E-26,Ttyh1,61166000,50119000,52719000,41857000,31066000,47385400,0,0,0,0,0,0,6,8,6,4,4,5.6,0,0,0,0,0,0
D3ZUM2,D3ZUM2,-28.46832976,2.69264E-09,2.80E-28,1.55E-26,Sarm1,45839000,46347000,50255000,37530000,52477000,46489600,0,0,0,0,0,0,5,12,7,7,8,7.8,2,0,0,0,0,0.4
F2Z3T7;Q6I7R3,F2Z3T7,-28.51667057,2.60391E-09,2.64E-28,1.55E-26,Isoc1,55440000,49496000,44354000,35927000,55124000,48068200,0,0,0,0,0,0,10,5,6,3,8,6.4,0,2,2,0,0,0.8
Q6IRF7;O55145,Q6IRF7,28.41392568,357638219.6,2.98E-28,1.60E-26,Cx3cl1,0,0,0,0,0,0,39461000,37238000,47775000,49206000,49570000,44650000,0,0,0,0,0,0,3,7,2,5,3,4
B2LYI9;A0A0G2K1L0,B2LYI9,28.30842056,332417377.1,3.39E-28,1.72E-26,Tnc,0,0,0,0,0,0,41444000,39758000,43072000,45081000,38265000,41524000,0,0,0,0,0,0,6,4,5,7,4,5.2
D3ZRX9,D3ZRX9,28.31173934,333182951.3,3.38E-28,1.72E-26,Cnn2,0,0,0,0,0,0,41986000,49544000,42148000,39297000,35144000,41623800,0,0,0,0,0,0,8,9,7,5,3,6.4
P48303,P48303,-28.33429932,2.95479E-09,3.30E-28,1.72E-26,S1pr1,49495000,40957000,46557000,33415000,41348000,42354400,0,0,0,0,0,0,8,6,8,5,5,6.4,0,0,0,0,0,0
D3ZII1,D3ZII1,-28.14341207,3.37279E-09,4.16E-28,1.85E-26,Rftn2,49775000,41798000,33359000,30043000,30509000,37096800,0,0,0,0,0,0,5,6,6,6,6,5.8,0,0,0,0,0,0
G3V7Q4;Q63745,G3V7Q4,28.12513995,292759338.5,4.24E-28,1.85E-26,Ptpn12,0,0,0,0,0,0,33043000,36512000,38576000,34749000,39827000,36541400,0,0,0,2,0,0.4,6,4,4,5,5,4.8
P06762,P06762,-28.11468428,3.44062E-09,4.31E-28,1.85E-26,Hmox1,35882000,37633000,35358000,40241000,32697000,36362200,0,0,0,0,0,0,9,8,7,8,10,8.4,0,2,0,0,0,0.4
P07171,P07171,-28.17186272,3.30692E-09,4.02E-28,1.85E-26,Calb1,43534000,37760000,42782000,34291000,30818000,37837000,0,0,0,0,0,0,4,6,7,3,2,4.4,0,0,0,0,0,0
P22791,P22791,-28.12366282,3.41927E-09,4.27E-28,1.85E-26,Hmgcs2,37525000,34512000,33684000,39044000,38178000,36588600,0,0,0,0,0,0,7,7,5,7,5,6.2,0,0,0,0,0,0
Q3MHC0;F1M065,Q3MHC0,-28.11339865,3.44369E-09,4.32E-28,1.85E-26,Jam2,37433000,38219000,34035000,34192000,37819000,36339600,0,0,0,0,0,0,6,7,8,4,6,6.2,0,0,0,0,0,0
Q496Z2,Q496Z2,-28.10044501,3.47475E-09,4.39E-28,1.85E-26,Tril,35871000,31774000,41522000,34782000,36111000,36012000,0,0,0,0,0,0,2,7,6,7,6,5.6,0,0,0,0,0,0
Q4KM35,Q4KM35,28.19135451,306509066.8,3.91E-28,1.85E-26,Psmb10,0,0,0,0,0,0,42492000,39146000,37475000,36319000,35878000,38262000,0,0,0,0,0,0,3,4,3,4,3,3.4
Q6TMA8,Q6TMA8,28.15401362,298677562.2,4.09E-28,1.85E-26,Angptl4,0,0,0,0,0,0,31377000,37781000,32455000,42280000,42579000,37294400,0,0,0,0,0,0,7,10,5,9,4,7
Q810D0;A0A096MK54;G3V9G5,Q810D0,-28.10287705,3.46889E-09,4.38E-28,1.85E-26,Synm,0,42087000,48575000,45305000,44586000,36110600,0,0,0,0,0,0,0,6,4,7,8,5,0,0,0,0,0,0
Q8K4C0;A0A0G2JSQ2,Q8K4C0,28.15728109,299354785,4.08E-28,1.85E-26,Fmo5,0,0,0,0,0,0,39370000,44948000,32115000,36910000,33598000,37388200,0,0,0,0,0,0,4,5,7,3,4,4.6
D3ZUC2,D3ZUC2,28.01990197,272164181.4,4.83E-28,1.92E-26,Mov10,0,0,0,0,0,0,29122000,29611000,37714000,42856000,30825000,34025600,0,0,0,0,0,0,5,3,4,9,4,5
F2Z3T8;P63219;Q45QK8,F2Z3T8,-28.03352008,3.63973E-09,4.76E-28,1.92E-26,LOC100360499;Gng5,47884000,0,57026000,34700000,32103000,34342600,0,0,0,0,0,0,4,0,3,2,2,2.2,2,0,0,0,0,0.4
P10688;A6Y857,P10688,-28.02206055,3.66876E-09,4.83E-28,1.92E-26,Plcd1,26289000,32186000,40650000,30655000,40843000,34124600,0,0,0,0,0,0,2,3,3,2,2,2.4,0,3,0,0,0,0.6
P84087,P84087,-28.01798188,3.67915E-09,4.86E-28,1.92E-26,Cplx2,34427000,29547000,38673000,29564000,37873000,34016800,0,0,0,0,0,0,5,5,4,4,6,4.8,0,0,0,0,0,0
A0A0G2K2M8;D3ZM62;D3ZQG6,A0A0G2K2M8,-27.97834701,3.78162E-09,5.10E-28,1.96E-26,Trim2,30063000,35950000,29215000,35316000,34909000,33090600,0,0,0,0,0,0,4,3,4,7,3,4.2,0,0,0,0,0,0
A0JPM7;Q66HI5;Q6AYV6;Q2TA66;Q5FVS1;P19132,A0JPM7,-27.98261459,3.77045E-09,5.07E-28,1.96E-26,Fth1,34910000,36502000,32391000,31298000,30847000,33189600,0,0,0,0,0,0,5,6,6,5,6,5.6,2,0,0,0,2,0.8
G3V9S9;A0A0G2QC63,G3V9S9,27.94959553,259218874.8,5.26E-28,2.00E-26,Sec24d,0,0,0,0,0,0,34194000,29001000,28459000,37251000,32922000,32365400,0,0,0,0,0,0,2,3,4,4,4,3.4
D3ZBM3,D3ZBM3,-27.92565654,3.92229E-09,5.44E-28,2.03E-26,Fech,31528000,41978000,30995000,27627000,27450000,31915600,0,0,0,0,0,0,7,10,4,4,6,6.2,0,0,0,0,0,0
F2W8B2;P21451,F2W8B2,-27.9144033,3.953E-09,5.51E-28,2.03E-26,Ednrb,34999000,32252000,31399000,31994000,27601000,31649000,0,0,0,0,0,0,2,6,3,6,4,4.2,0,0,0,0,0,0
A0A0G2K2T4;Q76LU2;Q9QYP1,A0A0G2K2T4,-27.82872641,4.19487E-09,6.12E-28,2.05E-26,Lrp4,29939000,25906000,31447000,27552000,34316000,29832000,0,0,0,0,0,0,4,4,5,3,5,4.2,2,0,0,0,0,0.4
B2GUX7,B2GUX7,-27.82152819,4.21585E-09,6.18E-28,2.05E-26,Creg1,30182000,30697000,27298000,27387000,32862000,29685200,0,0,0,0,0,0,3,3,4,4,2,3.2,0,0,0,0,0,0
D3ZQD3,D3ZQD3,-27.83784341,4.16845E-09,6.06E-28,2.05E-26,Ogdhl,28598000,26538000,33587000,30031000,31341000,30019000,0,0,0,0,0,0,3,6,5,4,6,4.8,0,0,0,0,0,0
D3ZZL3,D3ZZL3,-27.81863499,4.22432E-09,6.20E-28,2.05E-26,Naglu,28225000,28039000,35590000,28228000,28045000,29625400,0,0,0,0,0,0,4,5,3,8,3,4.6,0,2,2,0,2,1.2
D4A5Q2,D4A5Q2,-27.84110406,4.15903E-09,6.03E-28,2.05E-26,Smc2,0,25156000,33044000,32465000,59961000,30125200,0,0,0,0,0,0,0,2,3,7,10,4.4,0,0,0,0,0,0
F1MAD9,F1MAD9,-27.85220008,4.12717E-09,5.95E-28,2.05E-26,Smc4,27101000,27304000,27562000,32462000,37162000,30318200,0,0,0,0,0,0,2,6,4,5,8,5,0,0,0,2,0,0.4
P32215-5;P32215-3;P32215-4;P32215-2;P32215,P32215-5,-27.84735639,4.14105E-09,5.98E-28,2.05E-26,Adcyap1r1,35173000,27668000,35256000,28323000,24640000,30212000,0,0,0,0,0,0,4,3,4,4,3,3.6,0,0,0,0,0,0
Q5PQL7,Q5PQL7,-27.81327635,4.24004E-09,6.24E-28,2.05E-26,Itm2c,29347000,26108000,29861000,32875000,29328000,29503800,0,0,0,0,0,0,4,4,3,5,4,4,2,0,2,0,0,0.8
Q5XI86,Q5XI86,-27.86819707,4.08166E-09,5.83E-28,2.05E-26,Ptrh2,32866000,32030000,38909000,49279000,0,30616800,0,0,0,0,0,0,6,5,3,3,2,3.8,3,0,0,2,0,1
Q66HG9,Q66HG9,-27.79282835,4.30056E-09,6.40E-28,2.08E-26,Mavs,30920000,28543000,33520000,19327000,33252000,29112400,0,0,0,0,0,0,6,5,4,4,5,4.8,0,0,0,0,0,0
F1LST1;A0A096P6L8;P04937-4;P04937-2;P04937-3;P04937,F1LST1,27.74202876,224482658.7,6.78E-28,2.18E-26,Fn1,0,0,0,0,0,0,33219000,42587000,33669000,31286000,0,28152200,0,0,0,0,0,0,9,3,4,6,0,4.4
D4ADS6,D4ADS6,-27.71133863,4.55047E-09,7.07E-28,2.19E-26,Ints7,38676000,29836000,0,36987000,31825000,27464800,0,0,0,0,0,0,2,2,0,3,4,2.2,0,0,0,0,0,0
P20417,P20417,27.71537226,220373003.7,7.01E-28,2.19E-26,Ptpn1,0,0,0,0,0,0,21474000,24607000,30994000,33305000,27335000,27543000,0,0,0,0,0,0,8,7,3,3,5,5.2
Q499V1,Q499V1,27.70976182,219517668.1,7.06E-28,2.19E-26,Upp1,0,0,0,0,0,0,30995000,20396000,25952000,30535000,29086000,27392800,0,0,0,0,0,0,4,5,4,5,8,5.2
D3Z9V1;D4A8H1,D3Z9V1,27.68023074,215069952.7,7.32E-28,2.24E-26,Relb,0,0,0,0,0,0,38004000,25580000,25819000,23487000,21292000,26836400,0,0,0,0,0,0,8,5,4,6,5,5.6
A0A0H2UHF5;P49655,A0A0H2UHF5,-27.64276008,4.772E-09,7.69E-28,2.33E-26,Kcnj10,35397000,21972000,26642000,23433000,23614000,26211600,0,0,0,0,0,0,6,5,3,4,4,4.4,0,0,0,0,0,0
D3Z8E0,D3Z8E0,27.62379112,206818660.5,7.84E-28,2.35E-26,Rps6ka3,0,0,0,0,0,0,32136000,32855000,30250000,34473000,0,25942800,0,2,0,3,2,1.4,5,3,5,6,2,4.2
Q792I0,Q792I0,-27.57444162,5.00341E-09,8.36E-28,2.48E-26,Lin7c,17814000,30411000,23397000,27568000,25896000,25017200,0,0,0,0,0,0,3,6,2,5,5,4.2,3,4,2,2,0,2.2
G3V913;P42930,G3V913,27.53330229,194245009.1,8.76E-28,2.56E-26,Hspb1,0,0,0,0,0,0,29191000,26743000,35808000,0,29057000,24159800,0,0,0,0,0,0,5,2,3,2,4,3.2
F1LNV4;A0A0G2K866;Q704E8;A0A0G2KAC7,F1LNV4,-27.5015903,5.26255E-09,9.14E-28,2.63E-26,Abcb7,0,23829000,33073000,26524000,35613000,23807800,0,0,0,0,0,0,0,6,4,3,4,3.4,0,0,0,2,0,0.4
M0R3Z8,M0R3Z8,-27.49819016,5.27497E-09,9.18E-28,2.63E-26,Rbm15,0,28879000,26917000,29467000,33478000,23748200,0,0,0,0,0,0,0,6,4,5,6,4.2,2,0,0,2,3,1.4
P17955,P17955,-27.47244931,5.36993E-09,9.47E-28,2.63E-26,Nup62,0,26611000,34063000,20735000,35308000,23343400,0,0,0,0,0,0,0,5,4,3,3,3,0,0,0,2,0,0.4
Q5D006;Q6IE71,Q5D006,27.46982187,185883293.4,9.47E-28,2.63E-26,Usp11,0,0,0,0,0,0,24212000,20958000,21348000,23048000,26378000,23188800,0,0,0,0,0,0,2,5,4,5,3,3.8
Q91XV6-2;Q91XV6;A0A0G2K1I7,Q91XV6-2,-27.48343891,5.32918E-09,9.35E-28,2.63E-26,Fxyd6,32068000,25558000,28727000,0,31218000,23514200,0,0,0,0,0,0,4,2,3,2,3,2.8,2,0,0,2,0,0.8
G3V7K5,G3V7K5,-27.46290499,5.40557E-09,9.59E-28,2.64E-26,Npc1,31594000,26902000,28263000,28869000,0,23125600,0,0,0,0,0,0,4,3,4,6,0,3.4,0,0,0,0,0,0
F1LMV9,F1LMV9,-27.4300844,5.52996E-09,9.98E-28,2.64E-26,Coro2b,22348000,21029000,26240000,21274000,22259000,22630000,0,0,0,0,0,0,6,3,3,4,5,4.2,0,2,2,2,2,1.6
P07483,P07483,-27.43479184,5.51194E-09,9.92E-28,2.64E-26,Fabp3,25120000,21029000,24409000,20998000,21947000,22700600,0,0,0,0,0,0,5,5,5,3,3,4.2,0,0,0,0,0,0
P27881;O54892,P27881,27.44289808,182446480.5,9.79E-28,2.64E-26,Hk2,0,0,0,0,0,0,23660000,22198000,32893000,35788000,0,22907800,0,0,0,0,0,0,3,4,4,6,2,3.8
Q63688;A0A0G2K4N5;G3V787,Q63688,27.44494097,182705012,9.76E-28,2.64E-26,Cyp7b1,0,0,0,0,0,0,34091000,0,22944000,30905000,25923000,22772600,0,0,0,0,0,0,8,2,4,7,3,4.8
B1H268;Q2TA67,B1H268,-27.41440965,5.59037E-09,1.02E-27,2.64E-26,Mcmbp,22160000,20363000,2.30E+07,19284000,27137000,22388800,0,0,0,0,0,0,2,5,7,4,2,4,5,2,0,0,2,1.8
Q5RJP4;F1M7N2;O35795;O35795-2,Q5RJP4,-27.41238181,5.59823E-09,1.02E-27,2.64E-26,Entpd2,29868000,28669000,29881000,23286000,0,22340800,0,0,0,0,0,0,2,3,3,4,2,2.8,0,0,0,2,0,0.4
E9PT24;Q7TP68;F8WG35;Q62947-2;Q62947,E9PT24,-27.39653193,5.66007E-09,1.04E-27,2.67E-26,Zeb1,0,25158000,19124000,33197000,33124000,22120600,0,0,0,0,0,0,0,3,4,8,5,4,0,0,2,0,0,0.4
D3ZYR1,D3ZYR1,-27.37830756,5.73203E-09,1.06E-27,2.70E-26,Fcho2,19932000,20441000,23582000,23280000,21912000,21829400,0,0,0,0,0,0,4,4,2,4,4,3.6,2,2,0,0,0,0.8
Q9R175,Q9R175,27.33434371,169222212.3,1.12E-27,2.81E-26,Ifitm2,0,0,0,0,0,0,22952000,21109000,22559000,19195000,19802000,21123400,0,0,0,0,0,0,6,4,3,2,5,4
A0A0G2K0B0;Q5XIM5,A0A0G2K0B0,27.30733124,166083238.5,1.16E-27,2.83E-26,Cdv3,0,0,0,0,0,0,22772000,32748000,25263000,23390000,0,20834600,0,0,0,0,0,0,6,4,3,3,0,3.2
D3Z9N3;A0A0G2K9E5,D3Z9N3,-27.31124143,6.00478E-09,1.15E-27,2.83E-26,Lars2,0,27129000,21903000,28158000,27101000,20858200,0,0,0,0,0,0,2,6,3,5,2,3.6,0,0,0,0,0,0
F1LQZ9;Q63560-2;Q63560,F1LQZ9,27.31390446,166841675,1.15E-27,2.83E-26,Map6,0,0,0,0,0,0,17966000,24490000,19749000,21317000,20686000,20841600,0,0,0,0,0,0,3,2,4,3,3,3
A0A0G2K728,A0A0G2K728,27.2774657,162680456.1,1.20E-27,2.90E-26,NA,0,0,0,0,0,0,24143000,24415000,25041000,28460000,0,20411800,0,0,0,0,0,0,5,3,4,3,0,3
Q6P6T4-2;Q6P6T4,Q6P6T4-2,27.27175872,162038199.6,1.21E-27,2.90E-26,Eml2,0,0,0,0,0,0,31920000,22205000,22351000,0,24190000,20133200,0,0,0,0,0,0,7,3,2,2,3,3.4
P37805;A0A0G2K6I5,P37805,-27.26701108,6.19173E-09,1.22E-27,2.91E-26,Tagln3,21638000,18643000,20172000,21557000,19009000,20203800,0,0,0,0,0,0,4,5,5,3,3,4,0,0,0,0,0,0
D3ZRC4;A0A0G2K621,D3ZRC4,-27.25066868,6.26226E-09,1.24E-27,2.93E-26,Pnpla8,0,19982000,34269000,22295000,23488000,20006800,0,0,0,0,0,0,0,4,3,4,5,3.2,0,0,0,2,0,0.4
M0R8C6;P97689;P97689-2,M0R8C6,-27.24711947,6.27769E-09,1.25E-27,2.93E-26,Slc14a1,18978000,19330000,20257000,19394000,21715000,19934800,0,0,0,0,0,0,3,5,5,3,4,4,0,0,0,0,0,0
P23606,P23606,27.23118025,157544074.3,1.27E-27,2.95E-26,Tgm1,0,0,0,0,0,0,0,21696000,29342000,27013000,20638000,19737800,0,0,0,0,0,0,2,3,3,7,4,3.8
